
headers={'usertoken':'b9d390d549f4642b793125cbf24e319e-1738387965-20253-24522-api.live.vod.dvr.static.apk','user-agent':'Lavf/58.12.100','userid':'24522'}

Sky-體育sports,#genre#
BBC,https://no1x2.asiaw.top/live/kwzq1rse/93n722x2/index.m3u8
JET,https://no1x2.asiaw.top/live/kwzq1rse/07t8z33z/index.m3u8
STAR World,https://no1x2.asiaw.top/live/kwzq1rse/e8eddaf3/index.m3u8
Mezzo Live HD,https://no1x2.asiaw.top/live/t6u5b1q4/9e97608c/index.m3u8
CinemaWorld,https://no1x2.asiaw.top/live/kwzq1rse/wrn6wjz7/index.m3u8
MTV,https://no1x2.asiaw.top/live/kwzq1rse/a7939dbd/index.m3u8
LUXE TV,https://no1x2.asiaw.top/live/kwzq1rse/a7939dbd/index.m3u8
HBO family,https://no1x2.asiaw.top/live/kwzq1rse/61br3tqt/index.m3u8
CI 罪案偵緝,https://no1x2.asiaw.top/live/kwzq1rse/rw55z1xs/index.m3u8
History HD,https://no1x2.asiaw.top/live/kwzq1rse/4m124k0n/index.m3u8
History2 HD,https://no1x2.asiaw.top/live/t6u5b1q4/hdfg61df/index.m3u8
愛爾達體育4臺,https://no1x2.asiaw.top/live/kwzq1rse/w7tx0758/index.m3u8
國家地理 HD ,https://no1x2.asiaw.top/live/kwzq1rse/nvhgfr5c/index.m3u8
Discovery HD,https://no1x2.asiaw.top/live/kwzq1rse/fvptsnk3/index.m3u8
Discovery 科學 HD,https://no1x2.asiaw.top/live/kwzq1rse/0j9wgpsb/index.m3u8
CINEMAX,https://no1x2.asiaw.top/live/kwzq1rse/w6stt0q8/index.m3u8
HBO HD,https://no1x2.asiaw.top/live/kwzq1rse/84wnpj8g/index.m3u8
HBO Hits,https://no1x2.asiaw.top/live/kwzq1rse/invnbjaa/index.m3u8
HBO signature,https://no1x2.asiaw.top/live/kwzq1rse/8as1d3as/index.m3u8
壹電視電影台,https://no1x2.asiaw.top/live/kwzq1rse/agdc1y5c/index.m3u8
CatchPlay電影台,https://no1x2.asiaw.top/live/kwzq1rse/63t80c5p/index.m3u8
華視教育體育文化台,https://no1x2.asiaw.top/live/kwzq1rse/185781a1/index.m3u8
Disney-XD,https://no1x2.asiaw.top/live/e95cebf9/b3764be5/index.m3u8
BBC_World_News,https://no1x2.asiaw.top/live/kwzq1rse/93n722x2/index.m3u8
BabyFirst,https://no1x2.asiaw.top/live/kwzq1rse/fj3mtgtj/index.m3u8
AXN,https://no1x2.asiaw.top/live/kwzq1rse/q1t3r233/index.m3u8
ANIMAX,https://no1x2.asiaw.top/live/kwzq1rse/zmz9k2hc/index.m3u8
NHK,https://no1x2.asiaw.top/live/kwzq1rse/mn4r6rh7/index.m3u8
